,,happiness
1,歹毒,2.2
2,卑贱,2.52
3,腐朽,2.56
4,下贱,2.61
5,晦气,2.62
6,奸诈,2.65
7,消极,2.68
8,怯懦,2.7
9,自私,2.71
10,虚伪,2.73
11,烦恼,2.73
12,凄凉,2.78
13,无能,2.8
14,可耻,2.81
15,不祥,2.81
16,低劣,2.82
17,卑劣,2.83
18,险恶,2.84
19,残忍,2.84
20,破损,2.85
21,蛮横,2.85
22,暴躁,2.85
23,残酷,2.87
24,悲观,2.87
25,窝囊,2.87
26,凶狠,2.88
27,悲哀,2.88
28,懈怠,2.89
29,嚣张,2.89
30,枯萎,2.89
31,累赘,2.9
32,粗俗,2.9
33,刻薄,2.92
34,衰老,2.93
35,消沉,2.93
36,黑暗,2.96
37,颓丧,2.96
38,苦闷,2.97
39,凶险,2.97
40,荒唐,3
41,破败,3
42,混乱,3.01
43,惨重,3.01
44,危险,3.02
45,反动,3.02
46,惶恐,3.03
47,懒惰,3.03
48,哀愁,3.03
49,郁闷,3.03
50,虚假,3.04
51,凶悍,3.04
52,淫秽,3.05
53,荒谬,3.05
54,困倦,3.05
55,阴暗,3.06
56,无情,3.06
57,沮丧,3.06
58,苍凉,3.06
59,恼火,3.06
60,杂乱,3.08
61,愤懑,3.08
62,丑陋,3.08
63,猖狂,3.09
64,孤单,3.11
65,干枯,3.11
66,窘迫,3.12
67,落后,3.13
68,自卑,3.13
69,惆怅,3.13
70,懒散,3.13
71,苛刻,3.15
72,焦躁,3.15
73,愚蠢,3.15
74,粗鲁,3.15
75,疲倦,3.15
76,疲惫,3.15
77,苍白,3.16
78,惊惶,3.16
79,放肆,3.16
80,臃肿,3.16
81,傲慢,3.17
82,昏暗,3.18
83,穷困,3.18
84,多疑,3.18
85,失意,3.18
86,呆滞,3.19
87,酸楚,3.2
88,紊乱,3.21
89,孤立,3.22
90,蹩脚,3.22
91,羞耻,3.24
92,尖刻,3.25
93,穷苦,3.26
94,野蛮,3.27
95,贫寒,3.27
96,暗淡,3.28
97,鲁莽,3.28
98,草率,3.28
99,恍惚,3.29
100,轻佻,3.29
101,衰弱,3.29
102,平庸,3.3
103,偏执,3.3
104,枯燥,3.31
105,别扭,3.33
