,,happiness
1,爱情,7.4
2,案件,3.67
3,把戏,3.95
4,伴侣,6.86
5,帮主,5.09
6,榜样,6.63
7,包袱,3.76
8,宝石,6.75
9,宝座,6.46
10,悲剧,2.62
11,被告,3.37
12,本领,6.41
13,笨蛋,3.17
14,匕首,3.05
15,边境,4.9
16,编辑,5.41
17,别墅,6.51
18,宾客,6.19
19,冰箱,5.5
20,兵器,3.88
21,病房,3.24
22,才华,7.1
23,才智,6.79
24,财产,6.21
25,财富,7.15
26,残疾,2.97
27,苍蝇,2.57
28,草地,6.85
29,草原,6.57
30,厕所,3.61
31,差别,4.64
32,差异,4.49
33,长城,6.87
34,潮流,6.11
35,车祸,2.64
36,成就,6.96
37,成年,5.66
38,诚意,6.67
39,城市,5.98
40,耻辱,2.5
41,翅膀,6.77
42,宠物,6.1
43,出路,5.59
44,储蓄,5.8
45,处分,3.21
46,传统,5.46
47,船长,5.73
48,创伤,3.09
49,春风,6.54
50,村民,5.37
51,错误,3.15
52,答案,5.68
53,大奖,7.61
54,大娘,5.57
55,大人,5.29
56,代价,4.18
57,弹药,3.56
58,导弹,3.72
59,盗版,3.3
60,道德,6.34
61,敌人,2.84
62,地位,5.89
63,地狱,2.55
64,典礼,6.32
65,电脑,6.96
66,动物,5.66
67,都市,6.36
68,对策,5.14
69,对手,4.26
70,恶魔,2.26
71,恶意,2.63
72,儿童,6.22
73,儿子,5.99
74,法官,4.8
75,法规,4.94
76,法律,5.18
77,法庭,4.2
78,法院,4.25
79,法制,5
80,房屋,5.92
81,废话,3.43
82,分歧,3.48
83,风波,3.99
84,风采,6.46
85,风光,6.96
86,风貌,6.32
87,风俗,5.38
88,风险,4.06
89,疯子,2.75
90,芙蓉,6.44
91,父母,7.54
92,妇女,5.54
93,干部,5.54
94,感情,6.57
95,钢琴,6.34
96,钢铁,5.38
97,高潮,6.78
98,哥哥,6.73
99,歌剧,5.84
100,歌曲,6.62
101,歌声,6.71
102,阁下,5.16
103,个性,6.06
104,公寓,5.97
105,公园,6.68
106,公子,4.56
107,宫殿,6.32
108,宫廷,5.03
109,贡献,6.49
110,姑娘,6.45
111,故乡,6.7
112,故障,2.96
113,寡妇,3.79
114,关键,5.94
115,官司,3.41
116,官员,4.68
117,冠军,7.18
118,棺材,2.1
119,光辉,6.42
120,光明,6.68
121,光线,5.52
122,规范,5.28
123,规律,5.41
124,规则,5.28
125,诡计,3.01
126,贵族,5.29
127,国防,5.65
128,国歌,6.62
129,国画,6.22
130,国家,6.64
131,国境,5.3
132,国旗,6.43
133,国情,5.42
134,国王,5.73
135,孩子,6.51
136,海军,6.01
137,海洋,6.87
138,航空,5.79
139,好处,6.43
140,好感,6.85
141,好汉,6.48
142,好心,6.75
143,河流,5.91
144,宏观,6
145,狐狸,3.71
146,蝴蝶,6.23
147,护照,5.76
148,花朵,7.05
149,花卉,6.8
150,花园,6.79
151,皇帝,5.17
152,皇上,5.2
153,灰尘,3.23
154,婚事,6.75
155,婚姻,6.18
156,混蛋,2.65
157,火灾,2.4
158,货币,5.71
159,机场,5.48
160,机会,6.54
161,激光,5.32
162,激情,6.65
163,极限,5.4
164,疾病,2.55
165,记者,5.36
166,纪律,5.12
167,妓女,2.84
168,技巧,6.07
169,技术,5.92
170,佳丽,7.02
171,佳人,7.23
172,家长,6.29
173,家庭,7.03
174,嘉宾,6.27
175,见解,5.84
176,江湖,5.41
177,江山,6.49
178,将领,6.03
179,奖金,7.46
180,焦点,5.69
181,教授,5.88
182,姐姐,6.62
183,金牌,7.16
184,金融,5.54
185,经典,6.75
186,经费,5.55
187,精力,6.4
188,精灵,6.68
189,精品,6.98
190,精神,6.3
191,景区,6.56
192,警察,4.8
193,警官,4.83
194,警卫,4.58
195,敬意,6.51
196,军队,4.97
197,军官,5.37
198,军人,5.99
199,军事,4.94
200,君子,6.64
201,开支,5.11
202,科学,6.54
203,科研,6.29
204,客人,5.92
205,空军,5.79
206,苦难,2.99
207,苦心,4.37
208,狂风,3.65
209,困境,3.08
210,老人,5.78
211,老鼠,2.83
212,乐趣,6.88
213,乐团,6.1
214,乐园,6.82
215,礼服,6.04
216,礼品,7.11
217,礼物,7.15
218,礼仪,6.02
219,历史,5.6
220,利息,5.85
221,利益,5.93
222,廉价,4.87
223,脸色,4.78
224,粮食,6
225,列车,5.33
226,烈火,4.66
227,烈士,5.18
228,领袖,6.35
229,楼房,6.25
230,漏洞,3.26
231,绿地,6.83
232,蚂蚁,4.61
233,漫画,6.45
234,美德,7.13
235,美景,7.1
236,美女,7.42
237,美人,6.92
238,美食,7.21
239,美元,6.05
240,妹妹,6.71
241,妹子,6.24
242,秘书,5.23
243,名牌,6.67
244,名声,6.67
245,名胜,6.78
246,名著,6.64
247,明星,6.77
248,明珠,6.18
249,命运,5.12
250,模特,6.44
251,魔鬼,2.65
252,母亲,7.75
253,纳粹,2.95
254,男性,5.59
255,难度,4.19
256,难民,2.95
257,农村,4.99
258,奴才,2.98
259,女郎,5.92
260,女人,5.73
261,女神,7.25
262,女士,6.01
263,女性,6.06
264,女子,6.28
265,诺言,6.5
266,偶像,6.33
267,判决,3.97
268,叛徒,2.65
269,炮火,3.38
270,朋友,6.93
271,屁股,3.98
272,偏见,3.35
273,品位,6.32
274,平民,5.16
275,苹果,6.62
276,瀑布,6.22
277,妻子,6.53
278,奇迹,6.86
279,乞丐,2.98
280,气派,6.15
281,气势,6.04
282,气质,6.74
283,汽车,6.46
284,契约,5.05
285,前景,6.38
286,前途,6.65
287,歉意,4.58
288,亲戚,6.3
289,亲人,7.15
290,亲友,7.1
291,亲属,7.24
292,情调,6.12
293,情妇,3.84
294,情感,6.23
295,情侣,6.88
296,情人,5.95
297,情绪,5.29
298,情意,6.49
299,趣味,6.28
300,全球,5.74
301,权力,5.93
302,权利,6
303,权益,5.85
