,,happiness
1,爱慕,6.91
2,安慰,6.48
3,暗杀,2.75
4,把握,6.13
5,摆脱,4.62
6,拜访,5.83
7,拜托,5.57
8,帮忙,6.19
9,绑架,2.76
10,包围,4.03
11,保佑,6.11
12,报仇,3.08
13,报答,6.19
14,报复,2.78
15,暴露,3.44
16,爆发,4.08
17,爆炸,2.85
18,背叛,2.84
19,奔波,4.37
20,崩溃,3.04
21,闭幕,4.62
22,辩护,5.2
23,表达,5.6
24,表扬,7.36
25,表彰,7.15
26,剥夺,3.15
27,搏斗,4.5
28,采纳,5.99
29,参观,5.93
30,参赛,5.8
31,插嘴,4.08
32,阐述,5.06
33,颤抖,3.43
34,尝试,5.82
35,畅销,6.15
36,倡导,5.75
37,嘲弄,3.15
38,嘲笑,2.54
39,吵架,2.78
40,撤退,3.47
41,沉浸,4.84
42,称赞,6.81
43,成亲,6.5
44,成全,6.06
45,吃惊,4.82
46,迟疑,3.78
47,冲锋,5.41
48,冲突,3.28
49,崇尚,6.54
50,抽搐,3.21
51,筹划,5.68
52,踌躇,4.04
53,出兵,4.18
54,出卖,2.81
55,处罚,2.94
56,触动,5.24
57,传染,3.1
58,创新,6.82
59,辞职,3.89
60,促进,6.47
61,摧毁,3.24
62,打败,4.18
63,打扮,5.56
64,打击,3.63
65,打架,2.98
66,担心,3.88
67,担忧,3.58
68,倒闭,3.11
69,倒退,3.08
70,盗窃,2.8
71,道谢,6.51
72,抵抗,4.12
73,抵御,4.26
74,颠倒,3.41
75,调节,5.09
76,调侃,4.87
77,调整,5.59
78,叮嘱,5.51
79,丢脸,3.16
80,丢失,3.24
81,督促,4.76
82,读书,5.99
83,堵塞,3.15
84,杜绝,4.65
85,度假,6.93
86,端详,6.05
87,锻炼,6.26
88,对抗,4.18
89,躲避,3.9
90,恶化,2.76
91,遏制,4.28
92,发抖,3.54
93,发掘,5.19
94,发泄,3.85
95,罚款,3.19
96,反攻,4.28
97,反击,4.87
98,反抗,4.1
99,反省,4.71
100,贩毒,2.16
101,贩卖,2.76
102,防范,4.27
103,妨碍,3.13
104,放心,6.79
105,飞翔,6.79
106,飞行,6.03
107,废弃,3.4
108,分割,3.76
109,分配,5.41
110,分享,6.49
111,封锁,3.43
112,奉献,6.7
113,否决,3.75
114,否认,3.7
115,敷衍,2.96
116,抚摸,6.06
117,负债,3.39
118,复仇,2.82
119,复活,5.8
120,复苏,5.78
121,覆盖,5.18
122,改善,6.36
123,干涉,3.25
124,告辞,4.31
125,告诫,4.63
126,隔离,3.52
127,跟踪,3.8
128,更新,6.01
129,哽咽,3.43
130,攻击,3.75
131,攻占,4.11
132,恭维,4.08
133,勾结,2.85
134,勾引,2.78
135,沟通,6.04
136,鼓励,6.47
137,鼓掌,6.38
138,顾虑,4.22
139,关注,5.88
140,观测,5.28
141,观光,6.73
142,观望,4.91
143,过瘾,5.7
144,害羞,4.93
145,捍卫,6.16
146,好转,6.3
147,和解,5.83
148,轰动,5.39
149,轰炸,3.03
150,后退,3.08
151,呼喊,4.66
152,呼吸,5.66
153,呼吁,5.07
154,忽略,3.69
155,忽视,3.66
156,互助,6.36
157,滑雪,6.55
158,化装,4.96
159,怀疑,3.06
160,怀孕,5.37
161,欢呼,6.81
162,缓解,5.63
163,回眸,5.52
164,荟萃,6.49
165,贿赂,2.5
166,毁灭,2.7
167,昏迷,3.54
168,击败,4.49
169,激动,6.43
170,激励,6.39
171,激怒,3.17
172,嫉妒,2.85
173,加强,6.08
174,假冒,2.73
175,假装,3.55
176,歼灭,4
177,减肥,4.99
178,减弱,3.83
179,检查,4.43
180,检讨,3.54
181,奖励,6.98
182,降低,3.47
183,降临,4.66
184,降落,4.43
185,交流,6.08
186,角逐,4.61
187,接收,5.56
188,揭发,4.2
189,揭露,4.34
190,解除,4.87
191,解救,5.68
192,解散,3.93
193,解脱,5.34
194,戒备,3.84
195,进攻,4.45
196,晋升,6.67
197,禁止,3.26
198,惊诧,4.23
199,惊愕,4.18
200,惊骇,4.07
201,惊喜,6.88
202,敬佩,6.65
203,纠缠,3.19
204,纠正,5.22
205,救援,5.53
206,举报,4.49
207,拒绝,3.26
208,绝望,2.84
209,觉醒,6.05
210,崛起,6.2
211,竣工,5.92
212,开除,2.75
213,开创,6.36
214,开赛,5.51
215,开战,3.44
216,抗议,4.15
217,考察,5.4
218,磕头,3.38
219,恐惧,2.73
220,恐吓,2.75
221,控制,4.66
222,扣除,3.36
223,狂笑,4.21
224,困扰,3.5
225,浪费,3.11
226,冷笑,2.99
227,怜惜,4.63
228,联欢,6.73
229,恋爱,7.22
230,谅解,6.44
231,聆听,6.1
232,流浪,4
233,留恋,6.37
234,录取,7.28
235,旅行,6.66
236,履行,5.12
237,率领,5.46
238,埋伏,3.9
239,埋葬,2.64
240,蔓延,4.22
241,弥漫,4.71
242,迷惑,3.95
243,迷恋,5.47
244,灭亡,2.7
245,谋杀,2.35
246,纳闷,3.73
247,扭曲,3.33
248,虐待,2.33
249,排斥,3.26
250,盘旋,4.62
251,盼望,6.04
252,旁观,4.31
253,咆哮,3.79
254,赔偿,3.75
255,配合,5.98
256,碰撞,4.26
257,批评,3.56
258,品味,6.08
259,聘请,6.28
260,平息,5.39
261,评估,4.99
262,破坏,2.97
263,期待,6.26
264,欺骗,2.81
265,祈祷,6.09
266,启发,5.85
267,气喘,3.53
268,气愤,3.46
269,牵连,4.08
270,前进,6.42
271,强调,4.9
272,强化,5.68
273,抢劫,2.43
274,抢救,4.38
275,抢险,4.9
276,亲近,6.22
277,侵犯,2.56
278,侵略,2.72
279,侵权,3.16
280,轻蔑,2.68
281,倾诉,5.33
282,倾听,5.95
283,请求,5.01
284,庆祝,6.89
285,求婚,6.35
286,求救,4.19
287,驱逐,3.83
288,取缔,4.24
289,取胜,6.8
290,取消,3.32
291,去世,2.45
292,劝告,5.25
293,缺乏,3.01
294,确认,6
295,扰乱,3.63
296,热爱,7.07
297,忍耐,4.25
298,忍受,3.62
299,认错,5.09
300,荣获,6.74
301,容纳,5.62
302,容忍,4.49
303,如愿,6.88
304,撒谎,3.01
305,散布,4.16
306,散发,5.14
307,骚动,3.14
308,骚扰,2.78
309,闪耀,6.4
310,伤害,3.01
311,伤心,3.08
312,商量,5.54
313,上诉,3.84
314,申请,5.52
315,呻吟,3.52
316,审查,4.13
317,审美,6.3
318,审讯,3.33
319,渗透,4.78
320,失落,3.48
321,失业,2.98
322,示威,4.1
323,侍候,4.89
324,试探,4.47
325,试图,4.58
326,首创,6.28
327,受贿,2.58
328,受骗,2.73
329,疏忽,3.76
330,衰退,3.35
331,说谎,2.79
332,思念,6.05
333,搜寻,4.94
334,损害,3.28
335,损坏,3.21
336,损失,3.65
337,索赔,3.74
338,贪污,2.44
339,叹气,3.35
340,探险,6.37
341,逃避,3.22
342,逃走,3.35
343,提拔,6.76
344,提高,6.71
345,提醒,5.52
346,体贴,6.51
347,填补,4.96
348,挑剔,3.66
349,挑战,5.9
350,跳舞,6.8
351,停止,4.41
352,同情,5.22
353,同意,6.12
354,投降,3.14
355,透露,4.85
356,突击,4.52
357,突围,4.97
358,屠杀,2.68
359,团聚,6.78
360,吞噬,3.34
361,拖欠,3.24
362,拖延,3.58
363,脱离,4.4
364,脱贫,5.6
365,拓宽,5.82
366,挖掘,5.14
367,瓦解,3.62
368,完成,6.46
369,玩弄,3.09
370,玩耍,5.97
371,挽救,5.41
372,惋惜,3.86
373,妄想,3.64
374,威胁,3.18
375,微笑,7.08
376,围攻,3.69
377,围观,4.2
378,违反,3.55
379,违章,3.15
380,维持,5.47
381,维护,5.78
382,伪装,3.04
383,萎缩,3.26
384,畏惧,3.01
385,问候,6.31
386,侮辱,2.54
387,误会,3.37
388,吸毒,1.98
389,喜爱,6.84
390,羡慕,6.12
391,相配,5.96
392,相思,5.87
393,享受,6.38
394,想念,6.45
395,削减,3.6
396,消灭,4.27
397,消遣,5.22
398,销毁,3.49
399,销售,5.7
400,协调,5.61
401,协同,5.66
402,协助,5.59
403,协作,5.87
404,心慌,3.18
405,欣赏,6.62
406,信赖,7.02
407,信任,6.97
408,休假,7
409,休息,6.61
410,虚构,4
411,许诺,5.87
412,宣扬,5.44
413,寻觅,5.23
414,压迫,2.87
415,压制,3.76
416,严禁,3.3
417,掩盖,4.05
418,掩护,5.16
419,掩饰,3.65
420,厌恶,2.96
421,厌倦,3.43
422,邀请,6.3
423,摇摆,4.16
424,依赖,4.4
425,遗留,4.32
426,遗忘,3.88
427,疑惑,3.74
428,议论,4.56
429,抑制,3.68
430,引诱,4
431,隐蔽,4.06
432,隐藏,4.08
433,隐瞒,3.31
434,应酬,4.26
435,迎接,6.58
436,拥抱,6.91
437,拥有,6.22
438,忧虑,3.2
439,犹豫,3.78
440,游览,6.63
441,游行,4.62
442,娱乐,7.04
443,遇难,2.7
444,怨恨,2.93
445,孕育,5.43
446,赞成,6.22
447,赞美,6.86
448,赞赏,6.89
449,赞叹,6.34
450,赞同,6.25
451,赞助,6.43
452,责备,3.51
453,责怪,3.38
454,责令,3.57
455,增强,6.34
456,增收,6.52
457,增添,6.05
458,诈骗,2.37
459,占据,4.35
460,遮掩,3.63
461,折磨,3.19
462,珍藏,6.58
463,振作,6.65
464,争吵,2.95
465,争夺,4.31
466,争论,4.42
467,征服,5.91
468,征求,5.4
469,拯救,6.13
470,整顿,5.19
471,证实,5.72
472,支配,5.5
473,支援,5.69
474,执政,5.37
475,制约,3.55
476,制止,4.48
477,窒息,2.92
478,咒骂,2.92
479,主宰,4.74
480,嘱咐,5.35
481,祝福,7.59
482,祝愿,6.99
483,撞击,3.73
484,追捕,3.76
485,追查,4.41
486,追究,4.31
487,追逐,5.03
488,坠毁,3
489,捉弄,3.77
490,着火,3.13
491,着迷,5.63
492,自杀,2.06
493,自卫,4.89
494,自信,7.42
495,走私,2.57
496,阻拦,3.83
497,阻止,3.87
498,尊重,6.87
499,遵守,6
500,做爱,5.93
